latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.275923,81.693474,38.0,19800,Asia/Colombo,GMT+5:30

time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
2007-01-01,71,87,53,28.4,20.8,26.7,31.3,22.9,24.6,0.00,0.00,3
2007-01-02,73,85,62,26.9,22.6,26.3,28.6,24.6,24.6,0.00,0.00,3
2007-01-03,70,82,59,26.9,21.8,25.3,29.0,23.7,24.1,0.00,0.00,3
2007-01-04,70,79,60,26.0,21.4,24.7,26.9,22.8,23.6,0.00,0.00,3
2007-01-05,73,86,58,27.2,21.1,25.8,28.0,23.2,24.1,0.00,0.00,3
2007-01-06,72,87,57,27.5,21.7,26.6,28.7,24.4,24.7,0.00,0.00,3
2007-01-07,79,88,69,26.5,22.5,26.5,28.1,25.4,24.3,1.70,1.70,51
2007-01-08,87,95,81,26.7,23.2,27.9,30.6,25.9,24.7,6.30,6.30,53
2007-01-09,93,97,87,25.8,23.6,28.0,29.7,27.1,24.4,20.60,20.60,61
2007-01-10,93,95,89,25.4,23.6,28.0,29.3,27.1,24.3,22.60,22.60,61
2007-01-11,93,96,87,26.3,23.4,28.4,30.9,27.0,24.4,26.30,26.30,63
2007-01-12,91,96,85,26.3,23.0,28.0,31.0,26.5,24.3,5.40,5.40,53
2007-01-13,91,96,85,26.1,23.0,28.0,30.1,26.5,24.4,1.30,1.30,51
2007-01-14,86,93,80,27.2,23.5,28.7,30.6,27.2,25.1,3.30,3.30,53
2007-01-15,82,89,72,27.4,23.7,28.2,30.2,26.7,25.3,0.30,0.30,51
2007-01-16,83,90,74,27.1,23.7,27.9,29.6,26.9,25.1,2.00,2.00,53
2007-01-17,80,89,70,27.4,23.6,28.0,30.1,26.9,25.2,0.10,0.10,51
2007-01-18,80,85,72,27.4,23.7,27.9,29.5,26.7,25.3,0.60,0.60,51
2007-01-19,79,87,69,27.1,23.5,27.3,29.4,26.2,25.1,0.00,0.00,3
2007-01-20,76,84,65,27.1,23.1,26.8,28.4,25.7,24.8,0.10,0.10,51
2007-01-21,74,85,60,27.3,22.3,26.8,30.5,24.8,24.4,0.00,0.00,3
2007-01-22,75,83,62,27.0,22.2,26.3,28.9,24.1,24.3,0.00,0.00,3
2007-01-23,74,86,62,27.4,22.0,26.6,30.2,24.3,24.4,0.00,0.00,3
2007-01-24,70,80,58,27.9,22.8,27.0,30.2,24.8,25.1,0.00,0.00,3
2007-01-25,78,86,70,27.2,23.8,27.6,29.1,26.3,25.2,0.70,0.70,51
2007-01-26,93,96,87,24.7,23.3,27.7,28.8,26.8,24.0,22.20,22.20,61
2007-01-27,93,96,89,25.3,23.6,28.1,29.1,27.6,24.1,16.40,16.40,61
2007-01-28,92,95,85,26.7,23.4,28.9,31.4,27.5,24.6,10.50,10.50,61
2007-01-29,88,96,79,27.6,23.4,29.2,32.4,27.5,25.2,3.80,3.80,53
2007-01-30,80,89,66,27.5,24.0,28.3,30.9,27.1,25.4,0.20,0.20,51
2007-01-31,80,88,67,27.9,24.0,28.1,30.9,26.7,25.4,0.40,0.40,51
2007-02-01,73,85,57,27.8,23.6,27.4,29.8,25.7,25.4,0.00,0.00,3
2007-02-02,80,90,72,26.7,22.3,27.7,29.8,25.5,24.7,2.20,2.20,51
2007-02-03,84,93,76,27.0,22.9,28.2,30.9,26.2,24.7,0.70,0.70,51
2007-02-04,82,93,71,27.3,22.1,27.8,31.1,25.5,24.6,0.90,0.90,51
2007-02-05,79,93,64,27.4,21.8,26.9,30.5,24.9,24.3,0.00,0.00,2
2007-02-06,75,91,60,27.3,19.6,26.2,30.7,21.4,23.8,0.00,0.00,1
2007-02-07,78,92,67,27.2,20.6,27.2,30.1,23.4,24.4,1.10,1.10,51
2007-02-08,76,96,57,28.6,20.6,28.3,32.8,23.5,25.1,0.00,0.00,3
2007-02-09,82,94,66,28.0,22.5,28.5,31.9,26.4,25.0,1.70,1.70,51
2007-02-10,83,92,70,28.1,23.1,29.3,32.1,27.2,25.4,4.00,4.00,53
2007-02-11,86,96,77,27.8,22.8,29.8,32.8,27.4,25.3,2.30,2.30,51
2007-02-12,83,93,70,28.8,23.8,30.6,34.2,28.2,25.9,1.20,1.20,51
2007-02-13,81,95,65,29.6,22.9,31.1,35.9,27.2,26.3,0.00,0.00,3
2007-02-14,81,91,66,29.3,24.1,30.8,34.8,28.5,26.3,1.50,1.50,51
2007-02-15,80,93,61,30.2,23.6,31.2,36.0,27.9,26.5,0.10,0.10,51
2007-02-16,83,94,72,28.8,23.6,30.6,34.9,28.0,25.8,1.80,1.80,53
2007-02-17,81,94,66,29.0,23.0,30.2,34.3,27.0,25.8,0.70,0.70,51
2007-02-18,80,94,66,28.5,22.5,29.5,33.1,26.5,25.7,0.00,0.00,3
2007-02-19,74,84,63,28.2,24.5,28.7,30.9,27.7,26.0,0.00,0.00,3
2007-02-20,76,87,63,28.0,23.6,27.6,30.1,26.3,25.5,0.60,0.60,51
2007-02-21,66,78,53,27.8,23.7,26.4,28.7,25.4,25.4,0.00,0.00,3
2007-02-22,68,78,58,27.6,23.5,26.6,28.4,25.7,25.2,0.00,0.00,3
2007-02-23,74,85,63,28.0,22.9,28.1,30.9,25.9,25.5,0.90,0.90,51
2007-02-24,82,92,74,27.3,22.9,28.8,30.4,26.6,25.2,1.50,1.50,51
2007-02-25,86,95,75,27.7,23.5,28.7,32.0,27.2,25.0,5.20,5.20,53
2007-02-26,82,96,66,29.4,22.3,30.3,35.1,26.5,25.9,0.20,0.20,51
2007-02-27,83,91,72,29.1,23.9,31.0,34.8,28.5,26.3,2.30,2.30,55
2007-02-28,86,96,77,28.6,23.6,30.5,34.4,28.3,25.9,1.40,1.40,51
2007-03-01,79,92,62,30.1,24.1,31.1,35.9,28.4,26.6,0.00,0.00,2
2007-03-02,78,95,61,29.7,23.7,30.7,35.5,28.1,26.3,0.00,0.00,3
2007-03-03,79,94,59,30.2,21.8,30.0,35.7,25.2,25.9,0.00,0.00,3
2007-03-04,78,92,60,29.1,22.7,29.6,33.0,26.4,25.8,0.00,0.00,3
2007-03-05,77,95,61,28.5,20.8,27.6,32.6,23.7,24.7,0.00,0.00,2
2007-03-06,72,90,57,29.2,21.8,28.2,32.7,24.7,25.5,0.00,0.00,3
2007-03-07,71,88,56,29.6,22.3,29.0,34.6,25.5,25.8,0.00,0.00,2
2007-03-08,73,90,58,29.5,21.8,29.2,34.4,25.0,25.8,0.00,0.00,3
2007-03-09,73,88,59,29.3,22.5,29.0,33.5,25.7,25.7,0.00,0.00,3
2007-03-10,74,89,57,29.7,22.1,28.6,33.8,25.3,25.5,0.00,0.00,3
2007-03-11,76,93,56,29.8,21.4,29.1,35.1,24.5,25.6,0.00,0.00,3
2007-03-12,85,92,75,28.0,23.8,30.0,33.2,28.5,25.4,5.50,5.50,63
2007-03-13,84,97,73,28.8,23.2,30.5,34.0,28.1,26.1,2.90,2.90,51
2007-03-14,80,94,65,29.5,23.5,30.7,34.9,28.1,26.4,1.10,1.10,51
2007-03-15,81,94,63,29.9,23.6,30.9,34.8,28.0,26.5,0.90,0.90,51
2007-03-16,87,95,77,28.7,24.1,31.2,34.9,29.2,26.1,4.70,4.70,61
2007-03-17,82,96,68,29.6,23.9,31.0,35.0,28.8,26.6,1.10,1.10,51
2007-03-18,77,95,55,30.0,23.2,30.1,34.8,27.6,26.1,0.00,0.00,1
2007-03-19,75,99,48,30.5,21.2,29.5,35.4,25.2,25.7,0.00,0.00,3
2007-03-20,74,100,51,30.1,19.8,28.5,34.6,23.0,25.2,0.00,0.00,1
2007-03-21,73,97,44,30.9,20.1,28.6,35.8,22.6,25.3,0.00,0.00,3
2007-03-22,71,88,49,30.8,22.8,29.8,35.6,25.8,26.3,0.00,0.00,3
2007-03-23,68,87,50,29.9,22.1,28.9,34.2,25.7,25.8,0.00,0.00,3
2007-03-24,68,82,49,31.1,23.1,30.4,36.6,25.9,26.7,0.00,0.00,2
2007-03-25,73,96,45,31.9,21.7,30.7,37.3,25.3,26.6,0.00,0.00,1
2007-03-26,71,92,48,31.6,22.4,30.3,36.7,25.9,26.6,0.00,0.00,1
2007-03-27,73,90,52,31.7,21.8,30.6,37.3,24.7,26.6,0.00,0.00,2
2007-03-28,77,99,52,31.1,22.3,30.4,36.2,26.9,26.3,0.00,0.00,3
2007-03-29,75,93,53,30.8,22.5,30.0,35.9,26.3,26.2,0.00,0.00,2
2007-03-30,72,99,53,30.6,21.7,30.3,35.8,25.7,26.6,0.00,0.00,3
2007-03-31,78,91,61,30.6,23.0,31.5,36.1,26.9,26.9,1.50,1.50,51
2007-04-01,81,95,63,31.0,23.7,32.3,37.9,28.7,27.0,0.70,0.70,51
2007-04-02,76,94,56,31.7,24.1,32.7,38.0,29.2,27.7,0.00,0.00,3
2007-04-03,76,94,58,32.0,24.6,33.1,38.3,30.1,28.1,0.20,0.20,51
2007-04-04,76,91,56,31.9,25.4,32.9,37.4,30.6,28.1,0.20,0.20,51
2007-04-05,86,96,71,29.2,24.7,31.0,34.2,29.8,26.2,10.00,10.00,61
2007-04-06,91,95,82,28.3,24.7,31.3,33.5,30.0,25.9,11.20,11.20,63
2007-04-07,89,96,74,29.6,24.5,31.3,35.4,29.7,26.0,11.90,11.90,63
2007-04-08,93,97,83,27.7,23.9,30.1,32.9,28.6,25.0,27.60,27.60,63
2007-04-09,93,97,88,26.5,23.8,29.7,31.3,28.1,24.8,28.60,28.60,63
2007-04-10,92,95,79,28.0,24.1,29.7,32.8,28.1,25.2,31.10,31.10,63
2007-04-11,90,96,82,27.6,24.2,30.4,32.3,28.8,25.6,12.30,12.30,61
2007-04-12,93,96,86,26.4,24.2,30.0,31.6,28.8,24.8,18.20,18.20,63
2007-04-13,88,96,82,28.1,24.0,30.4,32.9,27.9,25.9,3.30,3.30,61
2007-04-14,86,97,70,29.4,23.9,31.6,34.8,28.7,26.5,1.20,1.20,51
2007-04-15,86,96,69,29.8,23.6,31.9,36.5,28.3,26.4,4.70,4.70,61
2007-04-16,84,95,68,30.0,24.3,32.2,36.6,29.5,26.7,4.60,4.60,61
2007-04-17,82,94,67,30.5,24.2,32.8,37.3,29.0,27.2,1.20,1.20,53
2007-04-18,84,94,72,30.6,25.3,33.6,38.0,30.8,27.7,2.30,2.30,55
2007-04-19,82,93,69,30.4,25.6,32.9,36.9,30.7,27.6,1.00,1.00,51
2007-04-20,79,91,60,31.1,25.1,32.7,37.5,29.9,27.7,0.00,0.00,1
2007-04-21,82,91,64,31.0,25.3,32.3,37.8,30.2,27.3,2.60,2.60,55
2007-04-22,83,95,68,30.5,24.9,32.5,37.7,30.1,27.1,3.80,3.80,61
2007-04-23,84,96,69,30.7,24.3,32.8,38.1,29.3,27.1,1.40,1.40,53
2007-04-24,86,96,69,30.6,24.6,33.2,38.4,30.1,27.2,6.60,6.60,63
2007-04-25,82,94,63,31.8,25.3,33.7,39.2,30.8,27.9,1.10,1.10,53
2007-04-26,83,93,66,31.4,25.4,33.2,38.9,30.3,27.5,1.30,1.30,53
2007-04-27,84,96,67,31.0,24.6,32.7,38.2,29.8,27.0,8.10,8.10,63
2007-04-28,82,95,65,31.3,24.5,32.8,39.0,29.7,27.3,3.10,3.10,61
2007-04-29,83,94,65,31.6,25.2,33.0,39.0,30.4,27.5,2.80,2.80,55
2007-04-30,84,96,71,31.1,24.6,33.2,38.4,30.1,27.5,0.90,0.90,51
2007-05-01,80,95,61,32.1,24.9,34.0,39.5,30.2,28.2,0.00,0.00,3
2007-05-02,81,94,62,31.9,25.8,34.5,39.4,31.5,28.4,0.00,0.00,3
2007-05-03,83,95,66,32.1,25.8,34.8,40.2,31.8,28.2,4.10,4.10,63
2007-05-04,86,96,68,31.6,25.7,34.0,40.2,31.5,27.6,16.60,16.60,65
2007-05-05,84,96,68,32.0,25.6,34.9,40.2,31.5,28.3,5.00,5.00,63
2007-05-06,87,96,71,31.6,26.2,34.0,39.6,31.7,27.8,6.90,6.90,63
2007-05-07,82,91,70,31.7,25.9,34.2,40.1,31.1,28.3,2.80,2.80,61
2007-05-08,82,94,70,31.8,26.2,34.8,40.5,30.9,28.7,1.20,1.20,51
2007-05-09,83,93,64,32.6,26.2,34.7,40.1,31.2,28.7,4.80,4.80,63
2007-05-10,85,95,65,32.2,25.7,34.4,38.6,31.4,28.2,4.90,4.90,63
2007-05-11,83,98,65,32.9,25.6,35.4,41.1,31.9,29.0,0.00,0.00,3
2007-05-12,78,90,58,33.8,26.1,34.3,39.8,30.7,29.2,0.00,0.00,3
2007-05-13,78,93,57,33.2,25.7,34.4,39.6,30.1,28.9,0.00,0.00,3
2007-05-14,76,96,55,33.8,24.6,34.3,40.4,29.5,28.9,0.00,0.00,3
2007-05-15,75,94,53,33.5,24.6,34.4,40.4,29.0,28.9,0.00,0.00,3
2007-05-16,72,91,50,33.9,24.8,33.9,39.7,29.1,29.2,0.00,0.00,3
2007-05-17,68,87,49,33.9,25.2,33.2,38.9,29.2,29.3,0.00,0.00,3
2007-05-18,70,85,52,33.9,25.7,33.1,39.2,29.4,29.3,0.00,0.00,2
2007-05-19,73,85,58,33.2,26.1,33.7,38.9,30.0,29.1,1.20,1.20,53
2007-05-20,76,87,59,33.3,26.1,34.6,41.1,30.8,29.1,0.70,0.70,51
2007-05-21,77,87,62,33.0,26.5,34.4,40.4,31.0,29.1,2.30,2.30,55
2007-05-22,76,87,60,33.1,26.2,33.2,39.4,30.2,28.8,1.00,1.00,53
2007-05-23,77,86,61,32.9,26.1,33.3,39.4,29.8,28.7,4.40,4.40,61
2007-05-24,78,91,62,32.2,26.0,33.7,38.7,30.2,28.6,1.50,1.50,53
2007-05-25,76,87,60,32.6,26.2,34.2,38.8,30.9,29.0,0.60,0.60,51
2007-05-26,72,87,54,33.5,26.4,34.3,40.0,31.2,29.4,0.40,0.40,51
2007-05-27,78,93,62,32.1,26.2,34.5,39.5,32.2,28.7,1.90,1.90,55
2007-05-28,83,94,64,31.9,25.5,33.9,39.4,31.0,27.7,9.90,9.90,63
2007-05-29,76,91,61,32.0,24.5,33.9,38.8,29.1,28.4,0.00,0.00,3
2007-05-30,78,91,63,32.5,25.7,35.3,40.5,31.2,29.0,0.30,0.30,51
2007-05-31,77,95,53,33.6,25.6,35.1,40.9,31.5,29.2,0.60,0.60,53
2007-06-01,78,95,61,32.3,25.7,35.1,40.0,31.8,29.0,0.50,0.50,53
2007-06-02,76,90,61,32.4,26.6,35.0,39.8,32.6,29.3,0.00,0.00,3
2007-06-03,76,89,58,33.2,26.5,35.2,40.5,32.2,29.3,0.40,0.40,51
2007-06-04,79,92,60,32.6,26.4,35.1,39.5,32.6,28.9,1.00,1.00,51
2007-06-05,80,94,60,33.0,25.5,34.4,40.1,31.3,28.4,5.30,5.30,63
2007-06-06,81,94,63,32.4,26.2,34.7,40.6,31.9,28.6,5.70,5.70,61
2007-06-07,82,92,64,32.3,25.9,33.7,39.9,31.1,28.0,9.50,9.50,63
2007-06-08,78,90,64,31.9,25.7,33.2,39.5,29.8,28.1,3.80,3.80,63
2007-06-09,78,91,60,33.0,25.8,33.6,40.3,29.3,28.4,4.60,4.60,61
2007-06-10,79,93,62,32.7,26.0,34.7,40.4,31.5,28.7,0.50,0.50,51
2007-06-11,78,90,64,32.2,26.1,34.3,38.9,31.4,28.7,1.40,1.40,55
2007-06-12,82,91,63,32.2,25.7,34.0,39.3,30.5,28.1,6.50,6.50,61
2007-06-13,81,93,64,31.9,25.9,34.4,38.6,31.2,28.3,3.40,3.40,61
2007-06-14,86,92,79,28.4,25.6,32.4,34.3,31.0,26.9,4.40,4.40,53
2007-06-15,83,91,70,29.1,25.6,31.9,33.0,30.1,26.9,3.80,3.80,55
2007-06-16,83,95,62,31.0,24.7,33.0,38.1,30.0,27.4,5.20,5.20,55
2007-06-17,78,88,63,30.7,25.9,33.0,35.4,30.6,28.0,0.00,0.00,3
2007-06-18,80,86,70,29.1,26.1,32.3,33.5,31.0,27.4,0.30,0.30,51
2007-06-19,72,86,54,32.8,26.1,33.5,37.9,30.2,28.8,0.00,0.00,3
2007-06-20,71,83,58,30.8,26.0,31.2,33.6,29.6,27.9,0.00,0.00,3
2007-06-21,76,86,62,30.7,25.6,31.1,34.6,28.9,27.6,0.00,0.00,3
2007-06-22,79,93,61,30.8,24.8,30.8,35.2,28.5,27.1,5.00,5.00,61
2007-06-23,82,94,64,31.7,24.9,32.6,38.2,28.9,27.4,6.20,6.20,61
2007-06-24,82,95,62,32.0,25.2,33.3,39.1,30.4,27.8,5.20,5.20,61
2007-06-25,84,94,62,32.2,26.0,33.7,39.6,31.4,28.0,12.70,12.70,63
2007-06-26,81,93,66,31.7,25.9,34.0,39.2,31.7,28.3,3.00,3.00,61
2007-06-27,79,91,61,32.2,25.8,34.1,37.8,31.2,28.4,1.60,1.60,53
2007-06-28,75,88,55,33.0,25.7,32.5,37.4,29.4,28.5,1.70,1.70,61
2007-06-29,73,85,56,32.7,25.9,32.2,36.9,29.2,28.7,0.00,0.00,3
2007-06-30,74,87,59,32.0,25.3,31.9,36.5,28.5,28.5,0.00,0.00,3
2007-07-01,75,86,57,32.5,25.4,32.2,37.5,29.0,28.4,0.70,0.70,53
2007-07-02,77,87,58,33.0,25.6,32.4,38.4,29.1,28.3,2.40,2.40,55
2007-07-03,77,88,57,32.9,25.9,32.9,38.0,29.6,28.4,6.70,6.70,63
2007-07-04,73,87,52,33.4,25.9,33.7,39.0,30.3,28.9,0.00,0.00,3
2007-07-05,68,86,48,34.2,26.1,34.0,39.9,30.8,29.4,1.00,1.00,55
2007-07-06,63,84,44,34.0,25.9,33.3,38.0,30.2,29.7,0.00,0.00,3
2007-07-07,62,87,43,34.4,25.0,33.1,38.5,29.2,29.6,0.00,0.00,3
2007-07-08,66,85,47,34.1,25.3,33.2,39.1,29.3,29.1,0.00,0.00,3
2007-07-09,69,88,49,34.0,24.6,33.8,40.3,28.6,29.1,0.00,0.00,3
2007-07-10,69,86,51,33.6,25.3,32.9,39.5,28.6,29.0,0.00,0.00,3
2007-07-11,72,85,51,33.6,25.6,32.0,39.2,28.9,28.5,2.40,2.40,61
2007-07-12,75,89,52,33.6,25.4,32.9,39.9,28.6,28.4,2.40,2.40,61
2007-07-13,71,86,49,34.2,25.8,33.4,39.4,29.9,29.0,0.00,0.00,3
2007-07-14,68,85,48,34.3,25.7,33.5,39.6,29.6,29.3,0.00,0.00,3
2007-07-15,66,84,44,34.7,25.8,33.4,39.5,29.3,29.5,0.00,0.00,3
2007-07-16,70,85,52,33.7,25.5,33.6,40.7,29.2,28.8,1.40,1.40,61
2007-07-17,72,86,52,33.7,25.8,33.4,40.5,30.1,28.7,1.40,1.40,53
2007-07-18,77,89,59,31.8,25.6,33.4,36.9,30.8,28.1,4.10,4.10,61
2007-07-19,78,94,61,32.0,25.0,33.2,37.9,30.5,28.1,2.40,2.40,61
2007-07-20,80,88,67,30.1,25.9,32.5,35.3,30.7,27.3,0.70,0.70,51
2007-07-21,75,90,57,31.6,25.5,33.7,37.0,30.9,28.4,0.00,0.00,3
2007-07-22,75,89,53,32.3,24.9,32.9,38.3,29.8,27.9,1.10,1.10,53
2007-07-23,86,92,70,29.5,25.2,31.8,35.1,30.0,26.3,5.20,5.20,55
2007-07-24,86,96,65,29.9,24.3,31.8,36.0,29.7,26.4,12.10,12.10,61
2007-07-25,85,95,71,29.2,24.8,32.0,35.2,30.1,26.5,4.00,4.00,53
2007-07-26,80,95,62,31.2,24.3,33.2,38.0,29.2,27.6,2.20,2.20,61
2007-07-27,79,95,62,31.5,24.6,33.8,39.3,29.5,28.0,0.10,0.10,51
2007-07-28,77,94,58,32.1,24.2,33.6,39.4,28.8,28.0,0.90,0.90,53
2007-07-29,79,91,63,31.4,25.6,33.7,38.5,30.9,28.0,0.40,0.40,51
2007-07-30,81,94,67,29.8,25.0,32.6,34.6,30.5,27.3,0.90,0.90,53
2007-07-31,74,93,52,32.7,24.6,32.1,36.9,28.7,28.1,0.20,0.20,51
2007-08-01,67,81,53,31.9,25.3,30.9,35.2,28.3,28.3,0.00,0.00,3
2007-08-02,66,77,53,32.5,25.4,30.5,35.7,27.1,28.4,0.00,0.00,3
2007-08-03,69,81,53,32.4,25.2,31.4,36.6,27.6,28.5,0.10,0.10,51
2007-08-04,70,83,53,32.1,25.3,31.0,35.1,27.8,28.4,0.00,0.00,3
2007-08-05,67,82,48,33.7,25.5,32.2,38.0,28.2,29.1,0.10,0.10,51
2007-08-06,66,82,46,33.9,25.4,32.8,39.0,28.6,29.1,0.00,0.00,3
2007-08-07,66,84,46,34.4,25.4,34.0,40.5,28.8,29.4,0.00,0.00,3
2007-08-08,67,89,45,34.5,24.2,34.0,40.5,28.2,29.3,0.00,0.00,3
2007-08-09,67,87,46,34.5,24.9,33.8,41.0,28.7,29.2,1.00,1.00,55
2007-08-10,70,84,49,33.9,26.0,33.3,39.8,29.9,28.6,6.20,6.20,63
2007-08-11,73,86,51,33.6,25.8,34.1,40.5,30.8,28.9,3.00,3.00,63
2007-08-12,71,85,52,33.5,26.5,34.2,40.3,30.9,29.0,0.10,0.10,51
2007-08-13,70,88,50,33.6,25.8,33.8,40.0,30.6,29.1,0.90,0.90,53
2007-08-14,72,91,48,33.3,24.4,33.8,39.9,28.9,28.8,0.00,0.00,3
2007-08-15,73,91,56,32.6,25.4,33.9,37.8,30.7,29.0,0.90,0.90,53
2007-08-16,69,88,51,33.0,25.8,34.1,38.5,30.7,29.4,0.30,0.30,51
2007-08-17,72,89,53,32.9,25.9,33.8,38.7,30.4,29.1,1.60,1.60,55
2007-08-18,70,87,52,33.8,25.6,34.4,40.2,30.5,29.3,0.30,0.30,51
2007-08-19,70,87,53,33.1,26.2,34.1,39.5,30.4,29.2,0.20,0.20,51
2007-08-20,67,90,48,33.9,25.1,34.5,40.2,29.9,29.6,0.00,0.00,3
2007-08-21,66,88,49,33.7,25.0,34.5,40.1,29.4,29.6,0.00,0.00,3
2007-08-22,68,86,48,33.6,25.7,34.3,39.4,30.7,29.4,0.00,0.00,3
2007-08-23,70,86,52,32.8,25.2,33.6,39.2,29.8,28.7,0.80,0.80,51
2007-08-24,79,91,56,32.3,25.2,33.3,38.5,30.3,27.8,7.90,7.90,63
2007-08-25,79,91,60,31.8,25.5,32.2,37.7,29.9,27.6,8.50,8.50,63
2007-08-26,77,87,63,31.9,25.4,32.9,39.0,29.7,28.1,6.60,6.60,63
2007-08-27,74,83,54,33.0,25.6,32.7,38.8,29.2,28.4,2.70,2.70,61
2007-08-28,74,84,57,32.3,25.6,31.9,37.4,28.7,28.2,4.10,4.10,63
2007-08-29,77,89,57,32.6,25.7,32.0,38.6,28.7,27.7,8.40,8.40,63
2007-08-30,78,88,59,32.0,25.3,31.9,37.9,28.3,27.6,11.50,11.50,63
2007-08-31,83,91,72,28.8,24.7,30.7,32.8,28.5,26.5,2.40,2.40,51
2007-09-01,75,89,55,31.7,24.3,31.4,36.6,27.4,27.4,0.10,0.10,51
2007-09-02,73,84,56,32.6,25.2,32.3,37.4,28.1,28.3,1.30,1.30,61
2007-09-03,73,85,57,32.3,25.9,32.6,36.4,29.9,28.7,0.00,0.00,3
2007-09-04,74,88,56,32.6,25.6,32.5,38.4,29.4,28.4,0.50,0.50,51
2007-09-05,77,91,59,32.4,25.5,32.7,39.2,29.1,27.9,4.70,4.70,61
2007-09-06,77,92,59,31.0,25.5,33.0,35.6,30.5,28.1,0.00,0.00,3
2007-09-07,77,89,56,32.6,25.3,33.5,39.6,30.3,28.0,2.00,2.00,53
2007-09-08,78,90,61,31.7,25.3,33.2,38.4,30.7,27.9,1.80,1.80,53
2007-09-09,81,95,64,30.8,24.7,31.9,36.6,30.0,27.1,3.70,3.70,63
2007-09-10,76,90,57,31.7,25.2,32.5,38.4,29.2,27.9,0.00,0.00,3
2007-09-11,77,87,60,31.9,25.3,32.0,38.3,29.3,27.8,2.20,2.20,55
2007-09-12,80,92,61,31.8,25.3,32.1,38.4,29.3,27.3,9.00,9.00,63
2007-09-13,78,92,62,31.4,24.7,32.8,39.2,29.2,27.9,2.00,2.00,55
2007-09-14,75,88,54,32.4,25.3,32.9,38.0,28.5,28.2,0.30,0.30,51
2007-09-15,74,90,53,32.9,25.3,33.3,39.0,30.3,28.4,2.50,2.50,63
2007-09-16,77,89,57,32.3,25.3,32.7,38.6,29.0,28.0,9.90,9.90,63
2007-09-17,76,88,57,32.5,25.6,32.2,37.3,29.2,28.2,3.10,3.10,61
2007-09-18,74,85,56,32.1,25.6,32.2,36.3,28.8,28.2,0.10,0.10,51
2007-09-19,74,91,52,33.3,25.0,32.6,37.4,29.4,28.3,0.60,0.60,53
2007-09-20,73,89,54,32.9,25.2,32.7,38.2,29.3,28.4,2.10,2.10,61
2007-09-21,68,88,50,33.8,25.2,33.0,39.0,28.9,29.0,0.00,0.00,3
2007-09-22,71,85,51,33.8,25.5,32.9,39.6,28.9,28.9,0.40,0.40,51
2007-09-23,73,89,53,33.0,25.8,33.3,39.6,29.7,28.5,2.50,2.50,61
2007-09-24,73,92,57,32.5,25.1,33.9,39.6,29.9,28.8,0.20,0.20,51
2007-09-25,74,84,55,33.2,26.2,34.0,40.1,30.6,29.0,1.00,1.00,55
2007-09-26,76,86,56,33.0,26.0,33.3,40.1,30.7,28.5,6.50,6.50,63
2007-09-27,77,86,59,32.1,25.9,32.6,38.6,30.2,28.1,4.60,4.60,61
2007-09-28,78,88,61,31.6,25.7,32.6,36.8,29.6,27.9,2.60,2.60,61
2007-09-29,77,88,61,31.9,25.7,33.3,39.0,29.4,28.2,2.60,2.60,61
2007-09-30,71,94,51,32.9,24.3,32.9,38.3,28.9,28.6,0.00,0.00,3
2007-10-01,66,84,48,33.2,25.1,31.7,37.6,27.8,28.8,0.00,0.00,3
2007-10-02,73,86,53,32.8,25.2,31.9,39.1,28.6,28.1,4.70,4.70,63
2007-10-03,74,88,53,33.3,25.3,32.9,39.4,29.3,28.4,0.40,0.40,51
2007-10-04,75,90,53,33.0,24.7,32.7,39.7,28.7,28.2,2.00,2.00,61
2007-10-05,74,87,52,33.2,25.3,32.6,38.0,28.9,28.3,1.30,1.30,53
2007-10-06,73,88,58,31.3,25.3,30.9,34.6,28.8,27.8,0.40,0.40,51
2007-10-07,73,85,55,32.5,24.9,31.3,37.3,28.0,27.8,2.80,2.80,55
2007-10-08,73,87,56,31.9,24.9,32.7,38.0,28.4,28.1,0.20,0.20,51
2007-10-09,73,93,54,32.2,24.8,33.2,38.8,29.4,28.4,0.00,0.00,3
2007-10-10,74,88,53,32.3,25.8,32.3,37.5,29.4,28.2,0.60,0.60,53
2007-10-11,77,89,64,30.1,25.1,30.6,34.0,28.9,27.0,4.50,4.50,53
2007-10-12,80,91,64,30.7,24.5,31.9,37.0,29.3,26.9,5.40,5.40,63
2007-10-13,81,95,62,31.3,24.2,32.5,37.8,29.3,27.1,1.80,1.80,61
2007-10-14,85,96,67,30.4,24.3,31.7,36.8,29.5,26.3,14.50,14.50,63
2007-10-15,86,96,70,29.8,24.3,31.6,35.6,29.8,26.2,7.80,7.80,63
2007-10-16,89,96,79,28.6,24.1,30.9,35.1,28.7,25.7,18.60,18.60,63
2007-10-17,89,96,77,28.0,23.8,29.7,32.6,28.0,25.2,14.00,14.00,63
2007-10-18,87,95,76,28.1,24.2,30.0,33.1,28.0,25.4,4.70,4.70,53
2007-10-19,89,96,79,28.4,24.2,31.0,34.6,29.5,25.6,11.40,11.40,63
2007-10-20,88,95,75,28.5,23.9,30.9,35.1,28.6,25.5,21.90,21.90,63
